数据库：分省年度数据
指标：个体户数(万户)
时间：最近10年
地区,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年
北京市,65.94,65.33,66.40,69.11,76.27,79.56,80.79,77.37,77.55,75.02
天津市,35.52,31.04,27.60,26.06,24.18,22.83,21.02,19.67,19.34,17.96
河北省,236.82,197.92,165.30,151.99,146.70,132.98,130.23,132.67,121.06,116.54
山西省,125.65,108.81,100.10,94.07,88.83,84.26,77.11,69.30,62.99,45.17
内蒙古自治区,130.23,122.17,109.90,96.72,85.18,75.43,69.38,58.26,50.94,49.65
辽宁省,200.63,180.64,170.50,167.74,161.21,152.96,145.96,130.09,127.21,127.98
吉林省,136.67,126.60,114.30,99.11,87.56,75.37,66.12,56.30,51.86,49.22
黑龙江省,126.16,152.39,133.90,119.44,109.22,101.40,92.40,82.48,76.32,72.49
上海市,40.61,39.00,36.80,36.29,35.99,35.57,33.34,30.48,29.43,28.84
江苏省,387.22,371.07,379.30,352.78,330.41,300.60,261.44,227.96,203.13,187.01
浙江省,317.75,284.37,259.20,249.86,230.13,212.21,198.69,189.97,180.74,179.79
安徽省,204.61,187.82,167.80,151.87,143.67,134.15,125.09,114.25,112.53,120.12
福建省,161.56,133.58,109.90,95.03,84.95,75.60,65.05,58.59,51.54,49.30
江西省,165.94,154.25,137.30,126.58,115.37,106.87,83.96,73.71,74.05,71.91
山东省,453.04,397.43,312.20,279.57,259.58,239.77,215.69,186.31,180.75,176.60
河南省,261.72,249.17,199.10,221.57,199.55,175.17,158.00,144.93,137.83,130.63
湖北省,319.37,320.79,268.50,201.44,170.57,144.65,139.28,122.79,111.10,106.31
湖南省,202.42,205.48,182.70,168.04,153.67,137.60,122.73,110.78,101.28,97.92
广东省,492.99,446.59,399.00,361.91,348.48,334.63,325.91,302.52,280.72,245.82
广西壮族自治区,149.32,137.58,124.30,117.33,114.16,115.87,117.85,113.74,108.76,104.07
海南省,37.46,35.08,30.90,27.95,25.52,23.90,21.20,17.42,14.11,12.22
重庆市,132.45,120.96,111.50,101.75,85.01,71.37,72.00,64.05,58.49,50.32
四川省,301.40,272.87,274.90,252.62,235.96,218.16,203.49,186.59,182.26,167.37
贵州省,149.21,127.99,106.10,89.48,75.51,64.73,59.79,54.98,50.77,48.62
云南省,185.07,169.61,150.80,139.57,124.26,114.12,98.67,85.83,85.23,78.72
西藏自治区,12.03,11.91,11.30,10.71,10.21,9.44,8.68,8.17,7.71,6.87
陕西省,140.22,127.37,104.90,90.76,82.17,74.78,73.63,80.59,76.03,74.98
甘肃省,97.89,87.13,77.40,66.32,62.01,52.70,47.93,41.67,36.46,33.02
青海省,21.76,19.23,15.40,13.76,12.73,12.12,11.98,10.81,10.14,12.17
宁夏回族自治区,30.92,27.94,24.40,22.27,21.10,19.79,18.33,16.00,13.43,11.60
新疆维吾尔自治区,85.37,71.92,64.60,57.59,56.30,54.30,51.65,49.04,47.77,47.37
数据来源：国家统计局
