数据库：分省年度数据
指标：城镇居民人均可支配收入(元)
时间：最近10年
地区,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年
北京市,,,,36468.8,32903.0,29072.9,26738.5,24724.9,21988.7,19977.5
天津市,,,,29626.4,26920.9,24292.6,21402.0,19422.5,16357.4,14283.1
河北省,,,,20543.4,18292.2,16263.4,14718.3,13441.1,11690.5,10304.6
山西省,,,,20411.7,18123.9,15647.7,13996.6,13119.1,11565.0,10027.7
内蒙古自治区,,,,23150.3,20407.6,17698.2,15849.2,14432.6,12377.8,10358.0
辽宁省,,,,23222.7,20466.8,17712.6,15761.4,14392.7,12300.4,10369.6
吉林省,,,,20208.0,17796.6,15411.5,14006.3,12829.5,11285.5,9775.1
黑龙江省,,,,17759.8,15696.2,13856.5,12566.0,11581.3,10245.3,9182.3
上海市,,,,40188.3,36230.5,31838.1,28837.8,26674.9,23622.7,20667.9
江苏省,,,,29677.0,26340.7,22944.3,20551.7,18679.5,16378.0,14084.3
浙江省,,,,34550.3,30970.7,27359.0,24610.8,22726.7,20573.8,18265.1
安徽省,,,,21024.2,18606.1,15788.2,14085.7,12990.4,11473.6,9771.1
福建省,,,,28055.2,24907.4,21781.3,19576.8,17961.5,15506.1,13753.3
江西省,,,,19860.4,17494.9,15481.1,14021.5,12866.4,11451.7,9551.1
山东省,,,,25755.2,22791.8,19945.8,17811.0,16305.4,14264.7,12192.2
河南省,,,,20442.6,18194.8,15930.3,14371.6,13231.1,11477.1,9810.3
湖北省,,,,20839.6,18373.9,16058.4,14367.5,13152.9,11485.8,9802.7
湖南省,,,,21318.8,18844.1,16565.7,15084.3,13821.2,12293.5,10504.7
广东省,,,,30226.7,26897.5,23897.8,21574.7,19732.9,17699.3,16015.6
广西壮族自治区,,,,21242.8,18854.1,17063.9,15451.5,14146.0,12200.4,9898.8
海南省,,,,20917.7,18369.0,15581.1,13750.9,12607.8,10996.9,9395.1
重庆市,,,,22968.1,20249.7,17532.4,15748.7,14367.6,12590.8,11569.7
四川省,,,,20307.0,17899.1,15461.2,13839.4,12633.4,11098.3,9350.1
贵州省,,,,18700.5,16495.0,14142.7,12862.5,11758.8,10678.4,9116.6
云南省,,,,21074.5,18575.6,16064.5,14423.9,13250.2,11496.1,10069.9
西藏自治区,,,,18028.3,16195.6,14980.5,13544.4,12481.5,11130.9,8941.1
陕西省,,,,20733.9,18245.2,15695.2,14128.8,12857.9,10763.3,9267.7
甘肃省,,,,17156.9,14988.7,13188.6,11929.8,10969.4,10012.3,8920.6
青海省,,,,17566.3,15603.3,13855.0,12691.9,11640.4,10276.1,9000.4
宁夏回族自治区,,,,19831.4,17578.9,15344.5,14024.7,12931.5,10859.3,9177.3
新疆维吾尔自治区,,,,17920.7,15513.6,13643.8,12257.5,11432.1,10313.4,8871.3
注：2013年前城镇居民收支数据来源于独立开展的城镇住户抽样调查。
数据来源：国家统计局
